Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
766,"GW Hart","Nonintrusive appliance load monitoring",1992,"Proceedings of the IEEE","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=192069","http://scholar.google.com/scholar?cites=13659967341396885001&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,2015-03-25,""
369,"C Laughman, K Lee, R Cox, S Shaw","Power signature analysis",2003,"Power and Energy ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1192027","http://scholar.google.com/scholar?cites=6793625629556293303&as_sdt=2005&sciodt=0,5&hl=en&num=20",79,2015-03-25,""
232,"M Zeifman, K Roth","Nonintrusive appliance load monitoring: Review and outlook",2011,"IEEE Transactions on Consumer Electronics","researchgate.net","http://www.researchgate.net/publication/224225559_Nonintrusive_appliance_load_monitoring_Review_and_outlook","http://scholar.google.com/scholar?cites=11426207992928865555&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,2015-03-25,""
218,"JZ Kolter, MJ Johnson","REDD: A public data set for energy disaggregation research",2011,"Workshop on Data Mining Applications in ","Citeseer","","http://scholar.google.com/scholar?cites=6707676167079398272&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,2015-03-25,"PDF"
192,"SB Leeb, SR Shaw, JL Kirtley Jr","Transient event detection in spectral envelope estimates for nonintrusive load monitoring",1995,"Power Delivery, IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=400897","http://scholar.google.com/scholar?cites=1181624243234204126&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,2015-03-25,""
192,"S Gupta, MS Reynolds, SN Patel","ElectriSense: single-point sensing using EMI for electrical event detection and classification in the home",2010,"Proceedings of the 12th ACM ","dl.acm.org","http://dl.acm.org/citation.cfm?id=1864375","http://scholar.google.com/scholar?cites=4651559131080111809&as_sdt=2005&sciodt=0,5&hl=en&num=20",349,2015-03-25,""
176,"LK Norford, SB Leeb","Non-intrusive electrical load monitoring in commercial buildings based on steady-state and transient load-detection algorithms",1996,"Energy and Buildings","Elsevier","http://www.sciencedirect.com/science/article/pii/0378778895009582","http://scholar.google.com/scholar?cites=4132341074453913252&as_sdt=2005&sciodt=0,5&hl=en&num=20",23,2015-03-25,""
150,"A Molina-Markham, P Shenoy, K Fu","Private memoirs of a smart meter",2010,"Proceedings of the 2nd ","dl.acm.org","http://dl.acm.org/citation.cfm?id=1878446","http://scholar.google.com/scholar?cites=13698096291884017754&as_sdt=2005&sciodt=0,5&hl=en&num=20",314,2015-03-25,""
143,"H Kim, M Marwah, MF Arlitt, G Lyon, J Han","Unsupervised Disaggregation of Low Frequency Power Measurements.",2011,"SDM","SIAM","http://epubs.siam.org/doi/pdf/10.1137/1.9781611972818.64","http://scholar.google.com/scholar?cites=12364814528301951067&as_sdt=2005&sciodt=0,5&hl=en&num=20",551,2015-03-25,""
138,"Y Mo, THH Kim, K Brancik, D Dickinson","Cyber–physical security of a smart grid infrastructure",2012,"Proceedings of the ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6016202","http://scholar.google.com/scholar?cites=4916961704182318418&as_sdt=2005&sciodt=0,5&hl=en&num=20",575,2015-03-25,""
129,"HY Lam, GSK Fung, WK Lee","A novel method to construct taxonomy electrical appliances based on load signaturesof",2007,"Consumer Electronics, IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4266955","http://scholar.google.com/scholar?cites=13557192558537285711&as_sdt=2005&sciodt=0,5&hl=en&num=20",534,2015-03-25,""
126,"GW Hart","Residential energy monitoring and computerized surveillance via utility power flows",1989,"Technology and Society Magazine, IEEE","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=31557","http://scholar.google.com/scholar?cites=9484718726765577722&as_sdt=2005&sciodt=0,5&hl=en&num=20",63,2015-03-25,""
122,"J Froehlich, E Larson, S Gupta, G Cohn","Disaggregated end-use energy sensing for the smart grid",2011,"IEEE Pervasive ","Citeseer","","http://scholar.google.com/scholar?cites=9814548190345777145&as_sdt=2005&sciodt=0,5&hl=en&num=20",236,2015-03-25,"PDF"
121,"SR Shaw, SB Leeb, LK Norford","Nonintrusive load monitoring and diagnostics in power systems",2008," and Measurement, IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4463663","http://scholar.google.com/scholar?cites=14048717976227969766&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,2015-03-25,""
120,"S Drenker, A Kader","Nonintrusive monitoring of electric loads",1999,"Computer Applications in Power, IEEE","ieeexplore.ieee.org","","http://scholar.google.com/scholar?cites=5822762346732295194&as_sdt=2005&sciodt=0,5&hl=en&num=20",149,2015-03-25,"CITATION"
100,"ML Marceau, R Zmeureanu","Nonintrusive load disaggregation computer program to estimate the energy consumption of major end uses in residential buildings",2000,"Energy Conversion and Management","Elsevier","http://www.sciencedirect.com/science/article/pii/S0196890499001739","http://scholar.google.com/scholar?cites=11420443884132679435&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,2015-03-25,""
99,"JZ Kolter, T Jaakkola","Approximate inference in additive factorial hmms with application to energy disaggregation",2012,"International conference on ","machinelearning.wustl.edu","","http://scholar.google.com/scholar?cites=10091373205265289298&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,2015-03-25,"PDF"
90,"M Baranski, J Voss","Genetic algorithm for pattern detection in NIALM systems",2004,"Systems, Man and Cybernetics, 2004 ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1400878","http://scholar.google.com/scholar?cites=3286435433096115015&as_sdt=2005&sciodt=0,5&hl=en&num=20",161,2015-03-25,""
88,"GW Hart, EC Kern Jr, FC Schweppe","Non-intrusive appliance monitor apparatus",1989,"US Patent 4,858,141","Google Patents","http://www.google.com/patents/US4858141","http://scholar.google.com/scholar?cites=4315134688077247366&as_sdt=2005&sciodt=0,5&hl=en&num=20",412,2015-03-25,""
85,"JZ Kolter, S Batra, AY Ng","Energy disaggregation via discriminative sparse coding",2010,"Advances in Neural Information ","papers.nips.cc","","http://scholar.google.com/scholar?cites=6123169740248235689&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,2015-03-25,"HTML"
82,"O Parson, S Ghosh, M Weal, A Rogers","Non-intrusive load monitoring using prior models of general appliance types",2012,"","eprints.soton.ac.uk","http://eprints.soton.ac.uk/336812/","http://scholar.google.com/scholar?cites=2511599628229901658&as_sdt=2005&sciodt=0,5&hl=en&num=20",191,2015-03-25,""
80,"C Tso, C Zhung, Y Shih, YM Tseng, S Wu, R Doong","Stability of metal oxide nanoparticles in aqueous solutions",2010,"","iwaponline.com","http://www.iwaponline.com/wst/06101/wst061010127.htm","http://scholar.google.com/scholar?cites=9707647933990317232&as_sdt=2005&sciodt=0,5&hl=en&num=20",541,2015-03-25,""
78,"KC Armel, A Gupta, G Shrimali, A Albert","Is disaggregation the holy grail of energy efficiency? The case of electricity",2013,"Energy Policy","Elsevier","http://www.sciencedirect.com/science/article/pii/S0301421512007446","http://scholar.google.com/scholar?cites=13558162385356321529&as_sdt=2005&sciodt=0,5&hl=en&num=20",588,2015-03-25,""
76,"A Zoha, A Gluhak, MA Imran, S Rajasegarar","Non-intrusive load monitoring approaches for disaggregated energy sensing: A survey",2012,"Sensors","mdpi.com","","http://scholar.google.com/scholar?cites=18443118642628572486&as_sdt=2005&sciodt=0,5&hl=en&num=20",348,2015-03-25,"HTML"
75,"SB Leeb, JL Kirtley Jr","Transient event detector for use in nonintrusive load monitoring systems",1996,"US Patent 5,483,153","Google Patents","http://www.google.com/patents/US5483153","http://scholar.google.com/scholar?cites=17617870142383153043&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,2015-03-25,""
74,"K Suzuki, S Inagaki, T Suzuki","Nonintrusive appliance load monitoring based on integer programming",2008,"SICE Annual ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4655131","http://scholar.google.com/scholar?cites=9084020478834409136&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,2015-03-25,""
74,"SR Shaw, SB Leeb","Identification of induction motor parameters from transient stator current measurements",1999,"Industrial Electronics, IEEE Transactions ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=744405","http://scholar.google.com/scholar?cites=15854607421949821722&as_sdt=2005&sciodt=0,5&hl=en&num=20",512,2015-03-25,""
72,"SB Leeb","A conjoint pattern recognition approach to nonintrusive load monitoring",1993,"","dspace.mit.edu","","http://scholar.google.com/scholar?cites=15171858574521766227&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,2015-03-25,"CITATION"
67,"WK Lee, GSK Fung, HY Lam, FHY Chan","Exploration on load signatures",2004," conference on electrical ","lucente.us","","http://scholar.google.com/scholar?cites=5305863122525034705&as_sdt=2005&sciodt=0,5&hl=en&num=20",176,2015-03-25,"PDF"
63,"A Rowe, ME Berges, G Bhatia","Sensor andrew: Large-scale campus-wide sensing and actuation",2011,"IBM Journal of ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5697279","http://scholar.google.com/scholar?cites=13411925191399001037&as_sdt=2005&sciodt=0,5&hl=en&num=20",573,2015-03-25,""
62,"AI Cole, A Albicki","Data extraction for effective non-intrusive identification of residential power loads",1998,"Instrumentation and Measurement ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=676838","http://scholar.google.com/scholar?cites=11932985671058257704&as_sdt=2005&sciodt=0,5&hl=en&num=20",599,2015-03-25,""
59,"M Berges, E Goldman, HS Matthews","Learning systems for electric consumption of buildings",2009," workshop on computing ","ascelibrary.org","http://ascelibrary.org/doi/abs/10.1061/41052(346)1","http://scholar.google.com/scholar?cites=13902341413470207305&as_sdt=2005&sciodt=0,5&hl=en&num=20",296,2015-03-25,""
53,"ME Berges, E Goldman, HS Matthews","Enhancing electricity audits in residential buildings with nonintrusive load monitoring",2010,"Journal of industrial ","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1111/j.1530-9290.2010.00280.x/full","http://scholar.google.com/scholar?cites=16805972405974934696&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,2015-03-25,""
51,"A Marchiori, D Hakkarinen, Q Han","Circuit-level load monitoring for household energy management",2011,"Pervasive Computing, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5582070","http://scholar.google.com/scholar?cites=14966451277647288608&as_sdt=2005&sciodt=0,5&hl=en&num=20",178,2015-03-25,""
50,"KD Lee, SB Leeb, LK Norford","Estimation of variable-speed-drive power consumption from harmonic content",2005,"Energy Conversion, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1495528","http://scholar.google.com/scholar?cites=6735328481003716430&as_sdt=2005&sciodt=0,5&hl=en&num=20",174,2015-03-25,""
48,"E Costanza, SD Ramchurn, NR Jennings","Understanding domestic energy consumption through interactive visualisation: a field study",2012,"Proceedings of the 2012 ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2370251","http://scholar.google.com/scholar?cites=15198257956603045931&as_sdt=2005&sciodt=0,5&hl=en&num=20",591,2015-03-25,""
46,"M Baranski, J Voss","Detecting patterns of appliances from total load data using a dynamic programming approach",2004,"Data Mining, 2004. ICDM'04. Fourth IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1410302","http://scholar.google.com/scholar?cites=13474050950681396179&as_sdt=2005&sciodt=0,5&hl=en&num=20",148,2015-03-25,""
46,"MR Brambley, P Haves, SC McDonald, PA Torcellini","Advanced sensors and controls for building applications: Market assessment and potential R & D pathways",2005,"","Citeseer","","http://scholar.google.com/scholar?cites=12213625903312519042&as_sdt=2005&sciodt=0,5&hl=en&num=20",451,2015-03-25,"BOOK"
45,"SR Shaw","System identification techniques and modeling for nonintrusive load diagnostics",2000,"","dspace.mit.edu","","http://scholar.google.com/scholar?cites=14633795350104253297&as_sdt=2005&sciodt=0,5&hl=en&num=20",13,2015-03-25,"CITATION"
43,"UA Khan, SB Leeb, MC Lee","A multiprocessor for transient event detection",1997,"Power Delivery, IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=568225","http://scholar.google.com/scholar?cites=11135357392582598742&as_sdt=2005&sciodt=0,5&hl=en&num=20",331,2015-03-25,""
42,"HH Chang, CL Lin, JK Lee","Load identification in nonintrusive load monitoring using steady-state and turn-on transient energy algorithms",2010," work in design (cscwd), 2010 14th ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5472008","http://scholar.google.com/scholar?cites=4443353417465895244&as_sdt=2005&sciodt=0,5&hl=en&num=20",14,2015-03-25,""
40,"R Cox, SB Leeb, SR Shaw","Transient event detection for nonintrusive load monitoring and demand side management using voltage distortion",2006," and Exposition, 2006. ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1620777","http://scholar.google.com/scholar?cites=5927816010545295229&as_sdt=2005&sciodt=0,5&hl=en&num=20",15,2015-03-25,""
40,"SR Shaw, CB Abler, RF Lepard","Instrumentation for high performance nonintrusive electrical load monitoring",1998,"Journal of "," .asmedigitalcollection.asme.org","http://solarenergyengineering.asmedigitalcollection.asme.org/article.aspx?articleid=1455858","http://scholar.google.com/scholar?cites=7086864720952694005&as_sdt=2005&sciodt=0,5&hl=en&num=20",190,2015-03-25,""
38,"HH Chang, CL Lin, HT Yang","Load recognition for different loads with the same real power and reactive power in a non-intrusive load-monitoring system",2008," Supported Cooperative Work in ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4537137","http://scholar.google.com/scholar?cites=12892096391944085140&as_sdt=2005&sciodt=0,5&hl=en&num=20",232,2015-03-25,""
37,"SB Leeb, UA Khan, SR Shaw","Multiprocessing transient event detector for use in a nonintrusive electrical load monitoring system",1998,"US Patent 5,717,325","Google Patents","http://www.google.com/patents/US5717325","http://scholar.google.com/scholar?cites=3788689238735979465&as_sdt=2005&sciodt=0,5&hl=en&num=20",258,2015-03-25,""
37,"Z Wang, G Zheng","Residential appliances identification and monitoring by a nonintrusive method",2012,"Smart Grid, IEEE Transactions on","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6032723","http://scholar.google.com/scholar?cites=13985285584496766134&as_sdt=2005&sciodt=0,5&hl=en&num=20",519,2015-03-25,""
35,"SR Shaw, CR Laughman","A Kalman-filter spectral envelope preprocessor",2007,"Instrumentation and Measurement, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4303444","http://scholar.google.com/scholar?cites=17668777525701828278&as_sdt=2005&sciodt=0,5&hl=en&num=20",303,2015-03-25,""
35,"HH Chang, KL Chen, YP Tsai","A new measurement method for power signatures of nonintrusive demand monitoring and load identification",2012," , IEEE Transactions on","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6112713","http://scholar.google.com/scholar?cites=14785933564743507737&as_sdt=2005&sciodt=0,5&hl=en&num=20",423,2015-03-25,""
34,"M Akbar, DZA Khan","Modified nonintrusive appliance load monitoring for nonlinear devices",2007,"Multitopic Conference, 2007. INMIC 2007 ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4557691","http://scholar.google.com/scholar?cites=12715934252779164280&as_sdt=2005&sciodt=0,5&hl=en&num=20",17,2015-03-25,""
34,"M Hazas, A Friday, J Scott","Look back before leaping forward: Four decades of domestic energy inquiry",2011,"IEEE pervasive Computing","comp.eprints.lancs.ac.uk","http://comp.eprints.lancs.ac.uk/2395/","http://scholar.google.com/scholar?cites=12323638105291087155&as_sdt=2005&sciodt=0,5&hl=en&num=20",569,2015-03-25,""
33,"M Baranski, J Voss","Nonintrusive appliance load monitoring based on an optical sensor",2003,"Power Tech Conference Proceedings, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1304732","http://scholar.google.com/scholar?cites=17958033845561509790&as_sdt=2005&sciodt=0,5&hl=en&num=20",18,2015-03-25,""
33,"SN Patel, S Gupta, MS Reynolds","The design and evaluation of an end-user-deployable, whole house, contactless power consumption sensor",2010," of the SIGCHI conference on Human ","dl.acm.org","http://dl.acm.org/citation.cfm?id=1753700","http://scholar.google.com/scholar?cites=12662839119474567670&as_sdt=2005&sciodt=0,5&hl=en&num=20",544,2015-03-25,""
32,"SR Shaw, CR Laughman, SB Leeb","A power quality prediction system",2000," , IEEE Transactions on","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=847890","http://scholar.google.com/scholar?cites=65997778235825418&as_sdt=2005&sciodt=0,5&hl=en&num=20",333,2015-03-25,""
31,"SB Leeb, JL Kirtley","A multiscale transient event detector for nonintrusive load monitoring",1993," , 1993. Proceedings of the IECON'93., ","ieeexplore.ieee.org","","http://scholar.google.com/scholar?cites=9577681942728249400&as_sdt=2005&sciodt=0,5&hl=en&num=20",16,2015-03-25,"CITATION"
31,"AJ Bijker, X Xia, J Zhang","Active power residential non-intrusive appliance load monitoring system",2009,"AFRICON, 2009. AFRICON'09.","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5308244","http://scholar.google.com/scholar?cites=6549306724685307650&as_sdt=2005&sciodt=0,5&hl=en&num=20",167,2015-03-25,""
31,"A Marchiori, Q Han","Using circuit-level power measurements in household energy management systems",2009,"Proceedings of the First ACM Workshop on ","dl.acm.org","http://dl.acm.org/citation.cfm?id=1810282","http://scholar.google.com/scholar?cites=10879381548663801110&as_sdt=2005&sciodt=0,5&hl=en&num=20",263,2015-03-25,""
31,"M Berges, E Goldman, HS Matthews","User-centered nonintrusive electricity load monitoring for residential buildings",2011,"Journal of Computing ","ascelibrary.org","http://ascelibrary.org/doi/abs/10.1061/(ASCE)CP.1943-5487.0000108","http://scholar.google.com/scholar?cites=16859409044602400866&as_sdt=2005&sciodt=0,5&hl=en&num=20",353,2015-03-25,""
31,"A Benveniste, BC Levy, E Fabre","A calculus of stochastic systems for the specification, simulation, and hidden state estimation of mixed stochastic/nonstochastic systems",1995,"Theoretical Computer ","Elsevier","","http://scholar.google.com/scholar?cites=16390270715577708607&as_sdt=2005&sciodt=0,5&hl=en&num=20",357,2015-03-25,"HTML"
31,"M Dong, PCM Meira, W Xu","An event window based load monitoring technique for smart meters",2012,"Smart Grid, IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6182599","http://scholar.google.com/scholar?cites=224707301754127668&as_sdt=2005&sciodt=0,5&hl=en&num=20",380,2015-03-25,""
30,"A Schoofs, A Guerrieri, DT Delaney","Annot: Automated electricity data annotation using wireless sensor networks",2010,"Sensor Mesh and Ad ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5508248","http://scholar.google.com/scholar?cites=11288880539454189246&as_sdt=2005&sciodt=0,5&hl=en&num=20",389,2015-03-25,""
25,"G Kalogridis, R Cepeda, SZ Denic","Elecprivacy: Evaluating the privacy protection of electricity management algorithms",2011,"Smart Grid, IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6003811","http://scholar.google.com/scholar?cites=8667123227824872827&as_sdt=2005&sciodt=0,5&hl=en&num=20",365,2015-03-25,""
25,"M Figueiredo, A De Almeida, B Ribeiro","Home electrical signal disaggregation for non-intrusive load monitoring (NILM) systems",2012,"Neurocomputing","Elsevier","http://www.sciencedirect.com/science/article/pii/S0925231212003359","http://scholar.google.com/scholar?cites=13765333315883615776&as_sdt=2005&sciodt=0,5&hl=en&num=20",406,2015-03-25,""
25,"DJ Cook","How smart is your home?",2012,"Science (New York, NY)","ncbi.nlm.nih.gov","","http://scholar.google.com/scholar?cites=8906745958495660910&as_sdt=2005&sciodt=0,5&hl=en&num=20",422,2015-03-25,"HTML"
24,"T Onoda, G Rätsch, KR Müller","Applying support vector machines and boosting to a non-intrusive monitoring system for household electric appliances with inverters",2000,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.40.222","http://scholar.google.com/scholar?cites=17199307495851089889&as_sdt=2005&sciodt=0,5&hl=en&num=20",364,2015-03-25,""
23,"D Bergman, D Jin, J Juen, N Tanaka","Nonintrusive load-shed verification",2011,"IEEE Pervasive ","users.crhc.illinois.edu","","http://scholar.google.com/scholar?cites=8290648425126044519&as_sdt=2005&sciodt=0,5&hl=en&num=20",19,2015-03-25,"PDF"
23,"MR Durling, Z Ren, N Visnevski, LE Ray","Cognitive electric power meter",2010,"US Patent 7,693,670","Google Patents","http://www.google.com/patents/US7693670","http://scholar.google.com/scholar?cites=16545227457165144521&as_sdt=2005&sciodt=0,5&hl=en&num=20",511,2015-03-25,""
22,"O Parson, S Ghosh, M Weal, A Rogers","Using hidden markov models for iterative non-intrusive appliance monitoring",2011,"","eprints.soton.ac.uk","http://eprints.soton.ac.uk/272990/","http://scholar.google.com/scholar?cites=5598211889549022463&as_sdt=2005&sciodt=0,5&hl=en&num=20",82,2015-03-25,""
22,"SP Kamat","Fuzzy logic based pattern recognition technique for non-intrusive load monitoring",2004,"TENCON 2004. 2004 IEEE Region 10 Conference","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1414824","http://scholar.google.com/scholar?cites=6345507431184386387&as_sdt=2005&sciodt=0,5&hl=en&num=20",83,2015-03-25,""
22,"KD Anderson, ME Berges, A Ocneanu","Event detection for non intrusive load monitoring",2012,"IECON 2012-38th ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6389367","http://scholar.google.com/scholar?cites=9541371129570770036&as_sdt=2005&sciodt=0,5&hl=en&num=20",147,2015-03-25,""
21,"HH Chang","Non-intrusive demand monitoring and load identification for energy management systems based on transient feature analyses",2012,"Energies","mdpi.com","http://www.mdpi.com/1996-1073/5/11/4569","http://scholar.google.com/scholar?cites=11122118472577971865&as_sdt=2005&sciodt=0,5&hl=en&num=20",293,2015-03-25,""
21,"A Rogers, S Ramchurn, NR Jennings","Delivering the smart grid: Challenges for autonomous agents and multi-agent systems research",2012,"","eprints.soton.ac.uk","http://eprints.soton.ac.uk/337560/","http://scholar.google.com/scholar?cites=18073826682837056561&as_sdt=2005&sciodt=0,5&hl=en&num=20",409,2015-03-25,""
20,"SB Leeb, JL Kirtley Jr, MS LeVan","Development and validation of a transient event detector",1993,"AMP Journal of Technology","Citeseer","","http://scholar.google.com/scholar?cites=4454890859783036069&as_sdt=2005&sciodt=0,5&hl=en&num=20",135,2015-03-25,"PDF"
20,"H Kuhns, PR Edwards, G Nikolich","Utility monitoring and disaggregation systems and methods of use",2011,"US Patent ","Google Patents","http://www.google.com/patents/US7885917","http://scholar.google.com/scholar?cites=8513114840853698610&as_sdt=2005&sciodt=0,5&hl=en&num=20",442,2015-03-25,""
20,"PR Armstrong, CR Laughman, SB Leeb","Detection of rooftop cooling unit faults based on electrical measurements",2006,"HVAC&R ","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/10789669.2006.10391172","http://scholar.google.com/scholar?cites=10422114592249289970&as_sdt=2005&sciodt=0,5&hl=en&num=20",500,2015-03-25,""
18,"J Paradiso, P Dutta, H Gellersen","Guest editors' introduction: smart energy systems",2011,"Pervasive Computing, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5676146","http://scholar.google.com/scholar?cites=6829607842997598487&as_sdt=2005&sciodt=0,5&hl=en&num=20",64,2015-03-25,""
18,"HH Chang, HT Yang","Applying a non-intrusive energy-management system to economic dispatch for a cogeneration system and power utility",2009,"Applied Energy","Elsevier","http://www.sciencedirect.com/science/article/pii/S030626190900083X","http://scholar.google.com/scholar?cites=3678548730747739434&as_sdt=2005&sciodt=0,5&hl=en&num=20",323,2015-03-25,""
18,"MB Figueiredo, A De Almeida, B Ribeiro","An experimental study on electrical signature identification of non-intrusive load monitoring (nilm) systems",2011,"Adaptive and Natural ","Springer","http://link.springer.com/chapter/10.1007/978-3-642-20267-4_4","http://scholar.google.com/scholar?cites=10038520981054330234&as_sdt=2005&sciodt=0,5&hl=en&num=20",324,2015-03-25,""
18,"JAF Moreno, AM García, AG Marín","An integrated tool for assessing the demand profile flexibility",2004,"Power Systems, ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1266627","http://scholar.google.com/scholar?cites=12900397404944983364&as_sdt=2005&sciodt=0,5&hl=en&num=20",326,2015-03-25,""
18,"KH Ting, M Lucente, GSK Fung, WK Lee","A taxonomy of load signatures for single-phase electric appliances",2005,"IEEE PESC (Power ","lucente.us","","http://scholar.google.com/scholar?cites=13894577213654959048&as_sdt=2005&sciodt=0,5&hl=en&num=20",373,2015-03-25,"PDF"
18,"W Kleiminger, C Beckel, T Staake","Occupancy detection from electricity consumption data",2013,"Proceedings of the 5th ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2528295","http://scholar.google.com/scholar?cites=81433726407302059&as_sdt=2005&sciodt=0,5&hl=en&num=20",447,2015-03-25,""
18,"T Zia, D Bruckner, A Zaidi","A hidden markov model based procedure for identifying household electric loads",2011,"IECON 2011-37th Annual ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6119826","http://scholar.google.com/scholar?cites=8598063643672647227&as_sdt=2005&sciodt=0,5&hl=en&num=20",543,2015-03-25,""
17,"H Shao, M Marwah, N Ramakrishnan","A temporal motif mining approach to unsupervised energy disaggregation",2012,"Proceedings of the 1st ","ices.cmu.edu","","http://scholar.google.com/scholar?cites=3882483932123844519&as_sdt=2005&sciodt=0,5&hl=en&num=20",21,2015-03-25,"PDF"
17,"N Batra, J Kelly, O Parson, H Dutta","NILMTK: An open source toolkit for non-intrusive load monitoring",2014,"Proceedings of the 5th ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2602051","http://scholar.google.com/scholar?cites=5441685013735214345&as_sdt=2005&sciodt=0,5&hl=en&num=20",277,2015-03-25,""
17,"HH Chang","Genetic algorithms and non-intrusive energy management system based economic dispatch for cogeneration units",2011,"Energy","Elsevier","http://www.sciencedirect.com/science/article/pii/S0360544210006171","http://scholar.google.com/scholar?cites=12430047298954244515&as_sdt=2005&sciodt=0,5&hl=en&num=20",432,2015-03-25,""
17,"F Kupzog, T Zia, AA Zaidi","Automatic electric load identification in self-configuring microgrids",2009,"AFRICON, 2009. AFRICON'09.","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5308129","http://scholar.google.com/scholar?cites=15376196148449543333&as_sdt=2005&sciodt=0,5&hl=en&num=20",506,2015-03-25,""
17,"Y Kim, ZM Charbiwala, A Singhania","Spotlight: Personal natural resource consumption profiler",2008,"Proceedings of the ","nslab.ee.ntu.edu.tw","","http://scholar.google.com/scholar?cites=17691532656172777723&as_sdt=2005&sciodt=0,5&hl=en&num=20",532,2015-03-25,"PDF"
16,"YH Lin, MS Tsai","A novel feature extraction method for the development of nonintrusive load monitoring system based on BP-ANN",2010,"Computer Communication Control and ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5533571","http://scholar.google.com/scholar?cites=6415547719985762541&as_sdt=2005&sciodt=0,5&hl=en&num=20",20,2015-03-25,""
