Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
1,"AS Bouhouras, GT Andreou","Signature of residential low voltage loads",2012," (ICIT), 2012 IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6209919","http://scholar.google.com/scholar?cites=2160524513241843444&as_sdt=2005&sciodt=0,5&hl=en&num=20",230,2015-03-25,""
1,"PA Chou, RI Chang","Unsupervised Adaptive Non-intrusive Load Monitoring System",2013," Man, and Cybernetics (SMC), 2013 IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6722295","http://scholar.google.com/scholar?cites=681671113422655072&as_sdt=2005&sciodt=0,5&hl=en&num=20",234,2015-03-25,""
1,"L Pereira","Towards automated non-intrusive load monitoring performance evaluation",2013,"ICT4S 2013: Proceedings of the first international ","m-iti.org","","http://scholar.google.com/scholar?cites=17589634162633879308&as_sdt=2005&sciodt=0,5&hl=en&num=20",243,2015-03-25,"PDF"
1,"F Jazizadeh, B Becerik-Gerber, M Berges","Unsupervised clustering of residential electricity consumption measurements for facilitated user-centric non-intrusive load monitoring",2014,"Comput. Civ. Build. ","ascelibrary.org","http://ascelibrary.org/doi/abs/10.1061/9780784413616.232","http://scholar.google.com/scholar?cites=13611431913197031072&as_sdt=2005&sciodt=0,5&hl=en&num=20",245,2015-03-25,""
1,"L Jiang, J Li, S Luo, S West, G Platt","Power load event detection and classification based on edge symbol analysis and support vector machine",2012,"Applied Computational Intelligence ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2487763","http://scholar.google.com/scholar?cites=3867986596537649220&as_sdt=2005&sciodt=0,5&hl=en&num=20",262,2015-03-25,""
1,"DR Carlson, M Bergés, HS Matthews","How many appliances does it take to",2012,"Proceedings of the 1st ","ices.cmu.edu","","http://scholar.google.com/scholar?cites=7365628512641138991&as_sdt=2005&sciodt=0,5&hl=en&num=20",265,2015-03-25,"PDF"
1,"OP Patri, AV Panangadan, C Chelmis","Extracting discriminative features for event-based electricity disaggregation",2014," (SusTech), 2014 IEEE ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=7046249","http://scholar.google.com/scholar?cites=5581994223171226111&as_sdt=2005&sciodt=0,5&hl=en&num=20",274,2015-03-25,""
1,"B Yang","A Joint Model of Device Load and User Intention in Load Monitoring",2012,"Journal of Energy and Power Engineering","davidpublishing.com","","http://scholar.google.com/scholar?cites=11116266440588597596&as_sdt=2005&sciodt=0,5&hl=en&num=20",276,2015-03-25,"PDF"
1,"K Collins, M Mallick, G Volpe","Smart energy monitoring and management system for industrial applications",2012,"Electrical Power and ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6474987","http://scholar.google.com/scholar?cites=14471961917385043890&as_sdt=2005&sciodt=0,5&hl=en&num=20",279,2015-03-25,""
1,"F Popescu, F Enache, IC Vizitiu","Recurrence plot analysis for characterization of appliance load signature",2014," (COMM), 2014 10th ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6866747","http://scholar.google.com/scholar?cites=12626795540392627580&as_sdt=2005&sciodt=0,5&hl=en&num=20",283,2015-03-25,""
1,"D Egarter, W Elmenreich","Autonomous Load Disaggregation Approach based on Active Power Measurements",2014,"arXiv preprint arXiv:1412.2877","128.84.21.199","","http://scholar.google.com/scholar?cites=4020217290990358281&as_sdt=2005&sciodt=0,5&hl=en&num=20",289,2015-03-25,"PDF"
1,"T Kurczveil, P Diekhake, J Liu, E Schnieder","Consumer load measurement in automated buildings",2014,"Measurement","Elsevier","http://www.sciencedirect.com/science/article/pii/S0263224113006052","http://scholar.google.com/scholar?cites=2313394665613743734&as_sdt=2005&sciodt=0,5&hl=en&num=20",301,2015-03-25,""
1,"S Makonin, LG Flores, R Gill, RA Clapp","A Consumer Bill of Rights for Energy Conservation",2014,"International ","researchgate.net","","http://scholar.google.com/scholar?cites=15103265416905576792&as_sdt=2005&sciodt=0,5&hl=en&num=20",306,2015-03-25,"PDF"
1,"A Suzdalenko, I Galkin","Case study on using non-intrusive load monitoring system with renewable energy sources in intelligent grid applications",2013,"Compatibility and Power Electronics ( ","ieeexplore.ieee.org","","http://scholar.google.com/scholar?cites=12078309449518388543&as_sdt=2005&sciodt=0,5&hl=en&num=20",320,2015-03-25,"CITATION"
1,"F Jazizadeh, B Becerik-Gerber","A Novel Method for Non Intrusive Load Monitoring of Lighting Systems in Commercial Buildings",2014,"Bridges","ascelibrary.org","http://ascelibrary.org/doi/abs/10.1061/9780784412343.0066","http://scholar.google.com/scholar?cites=6989561602949037029&as_sdt=2005&sciodt=0,5&hl=en&num=20",325,2015-03-25,""
1,"J Anderson, A Sadhanala, R Cox","Using smart meters for load monitoring and active power-factor correction",2012,"IECON 2012-38th Annual ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6388994","http://scholar.google.com/scholar?cites=4457776250631744717&as_sdt=2005&sciodt=0,5&hl=en&num=20",336,2015-03-25,""
1,"AH Kazmi, MJ O'Grady, GMP O'Hare","Non-intrusive identification of electrical appliances",2013,"Evolving Ambient Intelligence","Springer","http://link.springer.com/chapter/10.1007/978-3-319-04406-4_18","http://scholar.google.com/scholar?cites=12162054623744406416&as_sdt=2005&sciodt=0,5&hl=en&num=20",346,2015-03-25,""
1,"OE Ladipo","An Effort to Refine Home Energy Assessment Methods in Support of Retrofit Decision Making",2013,"","vtechworks.lib.vt.edu","http://scholar.google.comhttps://vtechworks.lib.vt.edu/handle/10919/23151","http://scholar.google.com/scholar?cites=4000362422326621414&as_sdt=2005&sciodt=0,5&hl=en&num=20",367,2015-03-25,""
1,"G Bottegal, RS Risuleo, H Hjalmarsson","Blind system identification using kernel-based methods",2014,"arXiv preprint arXiv:1412.4056","arxiv.org","http://arxiv.org/abs/1412.4056","http://scholar.google.com/scholar?cites=11583855842823623400&as_sdt=2005&sciodt=0,5&hl=en&num=20",384,2015-03-25,""
1,"S Thakur, M Saha, A Singh, Y Agarwal","WattShare: detailed energy apportionment in shared living spaces within commercial buildings",2014," of the 1st ACM Conference on ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2674069","http://scholar.google.com/scholar?cites=1750874395835990982&as_sdt=2005&sciodt=0,5&hl=en&num=20",413,2015-03-25,""
1,"M Sinha, B Desai, R Cox","Using smart meters for diagnostics and model-based control in thermal comfort systems",2012,"IECON 2012-38th Annual ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6389320","http://scholar.google.com/scholar?cites=7914171807417407989&as_sdt=2005&sciodt=0,5&hl=en&num=20",414,2015-03-25,""
1,"S Rollins, N Banerjee","Using rule mining to understand appliance energy consumption patterns",2014,"Pervasive Computing and ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6813940","http://scholar.google.com/scholar?cites=38081981102516187&as_sdt=2005&sciodt=0,5&hl=en&num=20",419,2015-03-25,""
1,"L Schmidt","Online smart meter analysis achieves sustained energy reductions: Results from five communities",2012,"Proceedings of the 2012 Summer Study on Energy ","aceee.org","","http://scholar.google.com/scholar?cites=15017030202085716462&as_sdt=2005&sciodt=0,5&hl=en&num=20",434,2015-03-25,"PDF"
1,"T Thiruvaran, T Phung","Automatic identification of electric loads using switching transient current signals",2013," Spring Conference, 2013 ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6584450","http://scholar.google.com/scholar?cites=10606970157426864876&as_sdt=2005&sciodt=0,5&hl=en&num=20",435,2015-03-25,""
1,"GM Tina, VA Amenta","Consumption awareness for energy savings: NIALM algorithm efficiency evaluation",2014,"Renewable Energy Congress (IREC), ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6827003","http://scholar.google.com/scholar?cites=11359176743072643326&as_sdt=2005&sciodt=0,5&hl=en&num=20",454,2015-03-25,""
1,"C Donciu, A Ardeleanu","Multi-feature Load Detection Algorithm",2013,"Advanced Materials ","Trans Tech Publ","http://www.scientific.net/AMR.772.448","http://scholar.google.com/scholar?cites=11650645026771733366&as_sdt=2005&sciodt=0,5&hl=en&num=20",455,2015-03-25,""
1,"VP Borin, CH Barriquello","An improved technique for load identification in residential buildings",2013,"New Concepts in Smart ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6708201","http://scholar.google.com/scholar?cites=13141006590424598061&as_sdt=2005&sciodt=0,5&hl=en&num=20",456,2015-03-25,""
1,"P Heracleous, P Angkititraku","Stochastic modeling and disaggregation of energy-consumption behavior",2014,"Acoustics, Speech and ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6855215","http://scholar.google.com/scholar?cites=7089066432485356597&as_sdt=2005&sciodt=0,5&hl=en&num=20",502,2015-03-25,""
1,"A Sintoni, A Schoofs, A Doherty","Generating power footprints without appliance interaction: An enabler for privacy intrusion",2011," Computing in Sensor ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5982180","http://scholar.google.com/scholar?cites=3767764480913473158&as_sdt=2005&sciodt=0,5&hl=en&num=20",507,2015-03-25,""
1,"R Lukaszewski, K Liszewski","Metody identyfikacji odbiorników w systemach monitorowania zuzycia energii elektrycznej",2013,"Pomiary, Automatyka, ","yadda.icm.edu.pl","http://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-56ecf7ba-687a-4de6-a310-4c87f24cff6f","http://scholar.google.com/scholar?cites=14661059754945463493&as_sdt=2005&sciodt=0,5&hl=en&num=20",529,2015-03-25,""
1,"YC Chen, CC Chen, WC Peng, WC Lee","Mining Correlation Patterns among Appliances in Smart Home Environment",2014,"Advances in Knowledge ","Springer","http://link.springer.com/chapter/10.1007/978-3-319-06605-9_19","http://scholar.google.com/scholar?cites=17274293626941514408&as_sdt=2005&sciodt=0,5&hl=en&num=20",538,2015-03-25,""
1,"J Campillo, F Wallin, D Torstensson, I Vassileva","Energy Demand Model Design for Forecasting Electricity Consumption and Simulating Demand Response Scenarios in Sweden",2012,"","diva-portal.org","http://www.diva-portal.org/smash/record.jsf?pid=diva2:582603","http://scholar.google.com/scholar?cites=13124061478766937697&as_sdt=2005&sciodt=0,5&hl=en&num=20",545,2015-03-25,""
1,"T Taniguchi, S Yano, H Kobayashi","Finding load profile primitives by using independent component analysis",2013,"Int J Energy Inf Commun","sersc.org","","http://scholar.google.com/scholar?cites=7685266763281768949&as_sdt=2005&sciodt=0,5&hl=en&num=20",562,2015-03-25,"PDF"
1,"E McCary, Y Xiao","Smart Grid HAN Accountability with Varying Consumption Devices",2014,"Manuscript submitted for publication","world-comp.org","","http://scholar.google.com/scholar?cites=2130904512614632520&as_sdt=2005&sciodt=0,5&hl=en&num=20",565,2015-03-25,"PDF"
1,"S Lanzisera, A Weber, A Liao, D Pajak, A Meier","Communicating Power Supplies: Bringing the Internet to the Ubiquitous Energy Gateways of Electronic Devices",2014,"","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6778069","http://scholar.google.com/scholar?cites=14524650348279215717&as_sdt=2005&sciodt=0,5&hl=en&num=20",566,2015-03-25,""
1,"M Alahmad, H Hasna","Addressable and energy management system for the built environment (I)",2011,"Vehicle Power and ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6043187","http://scholar.google.com/scholar?cites=5383859281693227788&as_sdt=2005&sciodt=0,5&hl=en&num=20",567,2015-03-25,""
1,"M Witherden, R Rayudu, C Tyler","Standards and Compliance, Energy Efficiency and Conservation Authority (EECA), Wellington, New Zealand",2013,"Power Engineering ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6725445","http://scholar.google.com/scholar?cites=6980453073661346913&as_sdt=2005&sciodt=0,5&hl=en&num=20",583,2015-03-25,""
1,"S Brânzei, Y Chen, X Deng, A Filos-Ratsikas","The Fisher market game: Equilibrium and welfare",2014," -Eighth Conference on ","aaai.org","","http://scholar.google.com/scholar?cites=16490886557870554788&as_sdt=2005&sciodt=0,5&hl=en&num=20",587,2015-03-25,"HTML"
0,"N Batra, M Gulati, P Jain, K Whitehouse","Bits and watts: improving energy disaggregation performance using power line communication modems: poster abstract",2014,"Proceedings of the 1st ","dl.acm.org","http://dl.acm.org/citation.cfm?id=2675039","http://scholar.google.com/scholar?q=related:RFPkAwDFuXMJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",85,2015-03-25,""
0,"G Tang, J Chen, C Chen, K Wu","Smart Saver: A Consumer-Oriented Web Service for Energy Disaggregation",2014,"Data Mining Workshop ( ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=7022742","",86,2015-03-25,""
0,"L Wang, X Luo, W Zhang","Unsupervised energy disaggregation with factorial hidden Markov models based on generalized backfitting algorithm",2013,"TENCON 2013-2013 IEEE Region ","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6718469","http://scholar.google.com/scholar?q=related:l6-1CCR953oJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",87,2015-03-25,""
0,"M Putic, NK Brown, P Muskopf","Transducer Development for Nonintrusive Load Monitoring of Rotating Machinery",0,"72.27.231.73","","","http://scholar.google.com/scholar?q=related:NI2XCxZ8OVoJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",88,2015-03-25,"PDF"
0,"M Zeifman","Methods and system for nonintrusive load monitoring",2011,"US Patent App. 13/993,935","Google Patents","http://www.google.com/patents/US20130338948","http://scholar.google.com/scholar?cluster=3055663635587031544&hl=en&num=20&as_sdt=0,5&as_ylo=1985",89,2015-03-25,""
0,"YH Lin, MS Tsai","An Advanced Home Energy Management System Facilitated by Nonintrusive Load Monitoring With Automated Multiobjective Power Scheduling",0,"ieeexplore.ieee.org","","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=7015635","http://scholar.google.com/scholar?q=related:VIPcGN9AsXEJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",90,2015-03-25,""
0,"E Elhamifar, S Sastry","Energy Disaggregation via Learning 'Powerlets' and Sparse Coding",2015,"","eecs.berkeley.edu","","http://scholar.google.com/scholar?q=related:CDBRHxxfp1gJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",91,2015-03-25,"PDF"
0,"B Wang, H Dong, CT Lu","Using Step Variant Convolutional Neural Networks for Energy Disaggregation",2013,"NIPS workshop on Machine Learning for Sustainability","","","http://scholar.google.com/scholar?q=related:pMYZZwPSzU4J:scholar.google.com/&hl=en&num=20&as_sdt=0,5&as_ylo=1985",92,2015-03-25,"CITATION"
